case_id,pressure_mpa,inner_radius_mm,cylindrical_length_mm,boss_radius_mm,dome_shape,dome_radius_factor,helical_angle_min_deg,helical_angle_max_deg,transition_angle_max_deg,hoop_angle_deg,helical_pairs,transition_pairs,hoop_pairs,total_thickness_mm,layer_count,python_fiber_stress_ratio_max,calculix_fiber_stress_ratio_max,fiber_correction_ratio_calculix_over_python,python_fiber_proxy_pressure_mpa,calculix_fiber_proxy_pressure_mpa,python_raw_max_combined,calculix_raw_max_combined,python_raw_critical_zone,calculix_raw_critical_zone,calculix_fiber_proxy_zone,calculix_fiber_proxy_ply,calculix_fiber_proxy_ply_name,calculix_fiber_proxy_angle_deg,calculix_fiber_proxy_sigma_11_mpa,calculix_fiber_proxy_tau_12_mpa,calculix_max_matrix_tension_hashin,calculix_max_matrix_compression_hashin,calculix_max_matrix_stress_ratio_abs,calculix_max_shear_ratio_abs,criterion_interpretation
11l_0001,70.0,89.76,372.36,26.5,isotensoid_like,1.118,17.35,17.35,55.36,89.17,4,2,2,15.967999999999998,16,0.4742651320897958,0.5933807193949195,1.251158221942765,147.5967665840263,117.96810666747008,0.9352795227271689,137.1239005885638,cylinder,junction,left_dome,16,hoop_2_minus,-89.17,1186.761438789839,-10.032692111746767,137.1239005885638,6.866108364331513,11.367931761013102,5.801039962402139,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0002,70.0,83.02,453.32,24.14,variable_contour,1.14,24.06,24.06,40.25,88.01,4,2,2,16.756,16,0.42429978008165226,0.5062481489545376,1.1931379008895908,164.97769569083727,138.2721105144943,0.7651850457391229,74.42657341951694,cylinder,left_dome,cylinder,14,hoop_1_minus,-88.01,1012.4962979090753,-32.24581095759446,74.42657341951694,0.15905203994407763,8.621407688097657,3.2792124682826738,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0003,70.0,81.41,475.41,28.17,hemispherical,1.144,25.73,25.73,34.52,89.12,5,2,3,18.582000000000004,20,0.3184801491137358,0.4135161916002682,1.2984049170756733,219.79391869413362,169.27994942376182,0.49988953072478065,46.600028276407976,cylinder,right_dome,cylinder,16,hoop_1_minus,-89.12,827.0323832005364,-10.183029562525734,46.600028276407976,0.04276356272927656,6.647791863599747,2.3226318243933486,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0004,70.0,81.48,459.81,23.8,isotensoid_like,1.058,23.83,23.83,33.04,87.52,4,1,3,16.826,16,0.3922325525853784,0.5048732280823155,1.2871782944951216,178.4655545252402,138.64866684629803,0.6858972553362029,75.19416823097498,cylinder,cylinder,cylinder,12,hoop_1_minus,-87.52,1009.746456164631,-39.27990180336924,75.19416823097498,0.0009398855718936527,7.995115874635769,3.3574231759076922,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0005,70.0,85.47,420.89,29.47,variable_contour,1.122,14.48,14.48,30.57,88.48,4,2,3,22.734,18,0.2726802356532374,0.9159145532467418,3.3589326745759966,256.71094141570916,76.42634321276303,0.43848337887496025,247.14316786059942,cylinder,left_dome,left_dome,15,hoop_2_plus,88.48,1831.8291064934836,-78.38758205473007,247.14316786059942,1.2362630100750516,15.045940326377526,5.246261377627524,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0006,70.0,89.22,350.86,27.42,hemispherical,1.02,19.44,19.44,41.48,88.97,5,2,2,18.750000000000007,18,0.31385013675423007,0.35470128774839627,1.1301613292784891,223.0363852121423,197.34915665052162,0.5430076521523354,81.43829834143293,cylinder,junction,left_dome,18,hoop_2_minus,-88.97,709.4025754967926,-4.602061907692587,81.43829834143293,4.3965227354514775,8.161804342154069,3.8649202680924737,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0007,70.0,79.98,474.54,24.09,isotensoid_like,1.036,16.89,16.89,40.43,86.54,4,2,2,15.212000000000003,16,0.3827113044417534,0.5205493207624318,1.3601618627956065,182.90549348184626,134.473328862428,0.6847907597855614,122.41040227686344,cylinder,boss,cylinder,14,hoop_1_minus,-86.54,1041.0986415248635,-51.7537354397863,122.41040227686344,3.689958065422511,9.736117477685378,5.361754074580595,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0008,70.0,90.64,363.48,26.28,variable_contour,1.119,18.2,18.2,48.39,88.37,4,1,2,14.255999999999998,14,0.4590216026254494,0.48614130578423204,1.0590815399616642,152.49826936166733,143.9910560306691,0.8543736008675921,94.08916147606635,cylinder,right_dome,cylinder,12,hoop_1_minus,-88.37,972.2826115684641,-24.35937271420886,94.08916147606635,0.09254534129184223,9.613474083636055,4.760497308819506,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0009,70.0,80.68,461.72,24.4,hemispherical,1.029,17.8,17.8,47.01,88.76,5,2,3,14.934,20,0.37927025466375713,0.5074598816504046,1.3379901940907395,184.56496163153804,137.94193892202867,0.6700541782168523,123.15961348225622,cylinder,left_dome,cylinder,16,hoop_1_minus,-88.76,1014.9197633008092,-20.303834824416075,123.15961348225622,8.38163704870028,9.77575125290135,5.573942917095237,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0010,70.0,86.14,388.33,29.15,isotensoid_like,1.024,14.83,14.83,40.69,87.76,4,2,3,18.87,18,0.2617432535135617,0.6434815622871792,2.4584456472106875,267.437647619724,108.78322566258662,0.650378715397714,89.87136429449465,cylinder,left_dome,boss,10,transition_1_minus,-87.43744126687687,1286.9631245743585,80.90512078911978,89.87136429449465,2.5185343864104315,9.473995974283275,2.7496400574428663,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0011,70.0,80.95,480.95,28.58,variable_contour,1.137,19.93,19.93,49.38,89.27,4,2,3,17.479999999999997,18,0.30479941067535127,0.7727595219715415,2.5353051708968857,229.65923669241795,90.58445481384557,0.5241021145152759,141.0832516354766,cylinder,left_dome,left_dome,17,hoop_3_plus,89.27,1545.519043943083,-75.5124834275919,141.0832516354766,6.365834812590222,10.167615542734039,6.1730285590860845,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0012,70.0,93.81,334.77,31.81,hemispherical,1.129,22.74,22.74,34.19,86.67,5,1,2,18.221999999999998,16,0.349835734967892,0.4368964037761405,1.2488615658895994,200.0939098071974,160.22104873142194,0.5834302734100755,113.79344441020251,cylinder,junction,boss,14,hoop_1_minus,-86.67,873.7928075522809,-30.312919595023786,113.79344441020251,2.55649007823498,10.143493612425877,3.5047353921179067,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0013,70.0,81.59,435.8,24.42,isotensoid_like,1.008,23.64,23.64,49.92,86.56,4,2,2,14.399999999999997,16,0.49697323000826754,0.6350770035703889,1.2778897639211348,140.8526571920896,110.22285424674732,0.9345814759927734,175.27603748053977,cylinder,cylinder,cylinder,14,hoop_1_minus,-86.56,1270.1540071407778,-71.8068803877221,175.27603748053977,0.0,13.091462742124587,4.88088185403256,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0014,70.0,86.26,392.91,28.1,variable_contour,1.038,19.54,19.54,44.78,88.47,4,2,2,20.72800000000001,16,0.31059929640362455,0.45233233601604167,1.4563211869876056,225.37076165502586,154.7534731134444,0.5276515403155991,49.85023880766926,cylinder,left_dome,boss,15,hoop_2_plus,88.47,904.6646720320833,-21.451399578995915,49.85023880766926,6.929047578801877,6.380571018525561,4.036058279380717,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0015,70.0,80.46,449.92,26.49,hemispherical,1.006,17.65,17.65,50.28,87.29,5,2,3,19.076000000000004,20,0.31999521147712984,0.5452788389809391,1.7040218710269992,218.75327345329018,128.37468648301413,0.5625217318996099,127.14730227946848,cylinder,left_dome,left_dome,20,hoop_3_minus,-87.29,1090.5576779618782,-42.082846156543305,127.14730227946848,1.3823698824500783,10.237073344191872,4.866475706682174,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0016,70.0,93.9,316.69,26.36,isotensoid_like,1.05,25.78,25.78,44.9,87.72,4,1,3,19.677999999999997,16,0.30556716265830586,0.34472713652417747,1.1281550462595402,229.0822069722068,203.05915195942384,0.557733806593106,49.692549787822145,cylinder,left_dome,cylinder,4,helical_2_minus,-25.78,689.4542730483549,0.3008473012189192,49.692549787822145,0.3692105138850062,7.0471814159923705,2.4477016475576763,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0017,70.0,86.5,400.97,25.47,variable_contour,1.078,12.66,12.66,35.84,87.68,4,2,3,19.136,18,0.3453198280365215,0.8537931842144897,2.47247077895623,202.71063031050943,81.98706817319196,0.6229616558678094,332.2223578470154,cylinder,left_dome,left_dome,16,hoop_2_minus,-87.68,1707.5863684289793,-12.14638272784047,332.2223578470154,0.7508632430158182,17.352055896093415,5.579293326745348,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0018,70.0,93.4,311.09,27.97,hemispherical,1.025,16.39,16.39,54.35,86.74,5,2,2,17.725999999999996,18,0.34287634171076087,0.5482240353706895,1.598897236932005,204.15523465614226,127.68502561670522,0.6075151401208115,198.41184197214918,cylinder,boss,left_dome,18,hoop_2_minus,-86.74,1096.448070741379,-18.710446840384755,198.41184197214918,1.9897714987682766,12.71991179859689,6.215211245404018,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0019,70.0,91.13,348.5,31.75,isotensoid_like,1.066,19.96,19.96,55.09,87.44,4,2,2,18.22,16,0.3608756163680474,0.5120086332231485,1.4187953133995193,193.97265103278374,136.71644471957944,0.6312767767188168,97.00944298096037,cylinder,left_dome,left_dome,16,hoop_2_minus,-87.44,1024.017266446297,8.567923286244092,97.00944298096037,7.184774385221001,8.366528317666578,5.227866039956869,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0020,70.0,86.07,368.45,25.28,variable_contour,1.002,20.15,20.15,43.31,88.09,4,1,2,11.056000000000001,14,0.5171232874304733,0.6646574270384104,1.2852978065269838,135.3642384736182,105.31741187623068,0.981358440643472,295.17797532385396,cylinder,left_dome,junction,12,hoop_1_minus,-88.09,1329.3148540768207,1.495528184284186,295.17797532385396,0.0,16.747291911703435,7.234799521408076,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0021,70.0,90.92,363.61,28.03,hemispherical,1.139,17.55,17.55,43.86,87.39,5,2,3,25.539999999999996,20,0.2572236084588308,0.5654182877369808,2.1981586026442717,272.1367623267895,123.8021505815927,0.4058113677700105,55.25648404403529,cylinder,boss,left_dome,17,hoop_2_plus,87.39,1130.8365754739616,2.972332679888418,55.25648404403529,4.965681377963854,6.664209435122833,4.338814451690942,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0022,70.0,86.24,405.97,28.37,isotensoid_like,1.087,25.12,25.12,44.68,88.47,4,2,3,19.537999999999997,18,0.3162319851787687,0.3597820846070244,1.137715669095384,221.3564828378394,194.56221694990236,0.498909633295787,58.48962996221961,cylinder,cylinder,cylinder,14,hoop_1_minus,-88.47,719.5641692140488,-20.991868837377357,58.48962996221961,0.09843751608815632,7.098272276880464,2.846780751215281,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0023,70.0,79.24,470.23,26.39,variable_contour,1.008,14.98,14.98,46.15,87.38,4,2,3,16.117999999999995,18,0.30144125385181525,0.5676461761098579,1.8831071356573699,232.21771773285923,123.31625393782753,0.6164893496721879,94.40912446413695,cylinder,left_dome,boss,9,transition_1_plus,87.43744126687687,1135.292352219716,-74.63537665744009,94.40912446413695,0.3213604592208581,9.711596355225502,3.1904858332670036,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0024,70.0,92.0,342.88,30.87,hemispherical,1.079,21.61,21.61,30.27,89.35,5,1,2,19.342000000000002,16,0.35938777609026257,0.3680717993595784,1.024163379633521,194.77568425259696,190.18028580781132,0.6121830873080929,67.7760900906502,cylinder,left_dome,junction,14,hoop_1_minus,-89.35,736.1435987191568,-5.176327917494371,67.7760900906502,1.7710220584119636,7.874753896355091,3.112086282120557,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0025,70.0,91.43,358.74,28.91,isotensoid_like,1.14,14.61,14.61,33.11,87.54,4,2,2,14.220000000000002,16,0.4661545013395631,0.7731033678169573,1.658470240221497,150.16480544292668,90.5441664258452,0.8831052113859638,172.0433623505253,cylinder,left_dome,left_dome,9,transition_1_plus,87.43744126687687,1546.2067356339146,-111.85955863413572,172.0433623505253,0.596163855642659,13.106773282626564,4.639830017773346,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0026,70.0,78.62,516.48,27.42,variable_contour,1.154,13.56,13.56,48.82,87.35,4,2,2,11.036000000000001,16,0.4911607959098152,1.1149616011001398,2.2700541459845343,142.5195182167045,62.782431189496165,0.957016916908208,1365.0482214106464,cylinder,left_dome,left_dome,16,hoop_2_minus,-87.35,2229.9232022002793,15.455156724331516,1365.0482214106464,1.4783452112607047,35.50381143610248,12.440166460322933,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0027,70.0,76.6,546.08,22.85,hemispherical,1.138,17.69,17.69,47.09,88.49,5,2,3,17.663999999999998,20,0.2737551923079166,0.5324662145276143,1.9450451698782854,255.70291255431175,131.46374002733972,0.5314546640990411,81.2814425822057,cylinder,left_dome,left_dome,18,hoop_2_minus,-88.49,1064.9324290552286,-63.17402081239393,81.2814425822057,0.8277162786657994,8.015132470645959,4.77355437946275,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
11l_0028,70.0,94.13,326.12,29.13,isotensoid_like,1.096,18.29,18.29,31.93,89.43,4,1,3,19.722,16,0.3218281406641087,0.47039223036756783,1.4616255414982966,217.50739340429163,148.81198174829865,0.566228330442332,104.46874286023538,cylinder,left_dome,left_dome,16,hoop_3_minus,-89.43,940.7844607351357,-10.69760699256067,104.46874286023538,12.151852629503008,9.798253006903465,4.679145375050387,mode-separated fibre stress proxy for burst-scale comparison; raw matrix/shear indices kept as early-damage diagnostics
